"SalePrice","TotalRooms","Bedrooms","FullBath","HalfBath","Fireplaces","LivArea","GarageArea","PoolArea","YearBuilt","YearSold","BldgType"
215000,7,3,1,0,2,1656,528,0,1960,2010,"1Fam"
105000,5,2,1,0,0,896,730,0,1961,2010,"1Fam"
172000,6,3,1,1,0,1329,312,0,1958,2010,"1Fam"
244000,8,3,2,1,2,2110,522,0,1968,2010,"1Fam"
189900,6,3,2,1,1,1629,482,0,1997,2010,"1Fam"
195500,7,3,2,1,1,1604,470,0,1998,2010,"1Fam"
213500,6,2,2,0,0,1338,582,0,2001,2010,"TwnhsE"
191500,5,2,2,0,0,1280,506,0,1992,2010,"TwnhsE"
236500,5,2,2,0,1,1616,608,0,1995,2010,"TwnhsE"
189000,7,3,2,1,1,1804,442,0,1999,2010,"1Fam"
175900,7,3,2,1,1,1655,440,0,1993,2010,"1Fam"
185000,6,3,2,0,0,1187,420,0,1992,2010,"1Fam"
180400,7,3,2,1,1,1465,393,0,1998,2010,"1Fam"
171500,5,2,1,1,1,1341,506,0,1990,2010,"1Fam"
212000,4,1,1,1,0,1502,528,0,1985,2010,"TwnhsE"
164000,8,4,2,0,0,1752,492,0,1988,2010,"1Fam"
394432,8,1,1,1,1,1856,834,0,2010,2010,"1Fam"
141000,4,2,1,0,0,864,400,0,1951,2010,"1Fam"
210000,7,3,2,0,2,2073,500,0,1978,2010,"1Fam"
190000,7,3,2,0,1,1844,546,0,1977,2010,"1Fam"
170000,6,3,2,0,2,1173,528,0,1974,2010,"1Fam"
216000,7,3,2,1,0,1674,663,0,2000,2010,"1Fam"
149000,5,2,1,0,1,1004,480,0,1970,2010,"1Fam"
149900,6,3,1,1,1,1078,500,0,1971,2010,"1Fam"
142000,6,3,1,0,1,1056,304,0,1968,2010,"1Fam"
126000,4,2,1,0,0,882,525,0,1970,2010,"1Fam"
115000,5,3,1,0,1,864,0,0,1971,2010,"1Fam"
184000,5,2,2,0,1,1337,511,0,1999,2010,"TwnhsE"
96000,5,2,1,1,0,987,264,0,1971,2010,"Twnhs"
105500,6,3,1,1,0,1092,320,0,1971,2010,"Twnhs"
88000,6,3,1,1,0,1092,264,0,1971,2010,"Twnhs"
127500,4,2,2,0,1,1069,440,0,1977,2010,"TwnhsE"
149900,6,3,2,1,1,1456,440,0,1975,2010,"Twnhs"
120000,4,2,1,0,0,836,308,0,1975,2010,"Twnhs"
146000,7,3,2,1,1,1456,440,0,1978,2010,"Twnhs"
376162,10,3,2,1,1,2334,751,0,2009,2010,"1Fam"
306000,7,3,2,0,1,1704,772,0,2007,2010,"1Fam"
395192,8,3,2,1,1,1940,606,0,2009,2010,"1Fam"
290941,7,3,2,0,0,1544,868,0,2009,2010,"1Fam"
220000,7,3,2,0,1,1541,532,0,2005,2010,"1Fam"
275000,7,3,2,0,1,1698,730,0,2005,2010,"1Fam"
259000,8,3,2,0,1,1822,678,0,2005,2010,"1Fam"
214000,7,3,2,0,0,1535,532,0,2004,2010,"1Fam"
224000,6,2,2,0,1,1358,484,0,2009,2010,"TwnhsE"
320000,7,3,2,1,1,2250,756,0,2002,2010,"1Fam"
319900,6,2,2,0,1,1752,576,0,2005,2010,"TwnhsE"
205000,6,2,2,0,1,1370,484,0,2006,2010,"TwnhsE"
175500,6,2,2,1,0,1626,474,0,2003,2010,"Twnhs"
199500,6,3,2,0,0,1324,430,0,2005,2010,"1Fam"
160000,6,2,2,0,0,1145,437,0,2006,2010,"TwnhsE"
192000,6,2,2,0,1,1269,430,0,2004,2010,"TwnhsE"
184500,7,3,2,1,1,1374,400,0,2004,2010,"1Fam"
185088,7,3,2,1,1,1733,433,0,2004,2010,"1Fam"
180000,7,3,2,1,1,1430,400,0,2000,2010,"1Fam"
222500,8,3,2,1,1,2035,434,0,2001,2010,"1Fam"
333168,10,4,2,1,1,2599,779,0,1999,2010,"1Fam"
355000,7,4,2,1,1,2475,962,0,1998,2010,"1Fam"
260400,7,3,2,0,1,1720,527,0,1996,2010,"1Fam"
325000,9,3,2,1,2,2622,712,0,1994,2010,"1Fam"
290000,9,4,2,1,1,2270,671,0,1999,2010,"1Fam"
221000,7,4,2,1,0,1839,486,0,1998,2010,"1Fam"
410000,9,4,2,1,1,3238,666,0,1995,2010,"1Fam"
204500,4,2,2,0,0,1218,676,0,2009,2010,"1Fam"
215200,7,3,2,1,0,1547,614,0,2009,2010,"1Fam"
262500,7,3,2,0,0,1566,750,0,2008,2010,"1Fam"
254900,8,3,2,1,1,1947,678,0,2004,2010,"1Fam"
271500,6,2,2,0,1,1468,528,0,2005,2010,"1Fam"
233000,8,4,2,1,0,2084,618,0,2004,2010,"1Fam"
181000,8,3,2,1,0,1659,484,0,2004,2010,"1Fam"
205000,8,3,2,1,2,2110,463,0,1994,2010,"1Fam"
143000,5,2,2,0,1,923,264,0,1980,2010,"TwnhsE"
189000,8,3,2,1,1,1845,462,0,1992,2010,"1Fam"
99500,5,2,2,0,1,918,264,0,1979,2010,"TwnhsE"
125000,4,2,1,0,0,752,264,0,1984,2010,"TwnhsE"
194500,7,3,2,1,0,1744,457,0,1993,2010,"1Fam"
152000,6,3,2,0,0,1097,480,0,1984,2010,"1Fam"
171000,7,3,2,1,1,1564,476,0,1980,2010,"1Fam"
67500,5,2,1,0,0,1012,429,0,1920,2010,"1Fam"
112000,8,4,2,0,0,1902,539,0,1978,2010,"Duplex"
148000,6,3,1,0,0,1155,576,0,1961,2010,"1Fam"
138500,5,3,1,0,1,894,336,0,1965,2010,"1Fam"
122000,5,3,1,0,0,900,280,0,1967,2010,"1Fam"
133000,5,3,1,1,0,1040,308,0,1963,2010,"1Fam"
127000,6,3,1,1,0,1040,260,0,1962,2010,"1Fam"
169000,7,3,2,0,2,1494,461,0,1974,2010,"1Fam"
190000,8,3,2,1,1,1923,564,0,1992,2010,"1Fam"
362500,9,4,2,1,1,2349,762,0,1993,2010,"1Fam"
285000,7,4,2,1,1,2225,713,0,1992,2010,"1Fam"
260000,6,2,2,0,1,1488,506,0,2004,2010,"TwnhsE"
190000,3,2,2,1,0,1680,588,0,2004,2010,"TwnhsE"
155000,4,2,2,1,0,1200,480,0,2004,2010,"TwnhsE"
151000,4,2,2,1,0,1200,480,0,2004,2010,"TwnhsE"
149500,4,2,2,1,0,1200,480,0,2004,2010,"Twnhs"
152000,4,2,2,1,0,1236,480,0,2005,2010,"Twnhs"
222000,7,2,2,1,1,1478,484,0,2009,2010,"1Fam"
177500,5,3,2,1,0,1573,440,0,2000,2010,"Twnhs"
177000,5,2,2,1,0,1512,440,0,2000,2010,"TwnhsE"
155000,6,3,2,1,0,1416,484,0,1999,2010,"Twnhs"
147110,4,2,2,1,0,1080,496,0,2003,2010,"TwnhsE"
267916,6,1,1,1,1,1418,852,0,2010,2010,"1Fam"
254000,7,3,2,1,1,1848,592,0,2000,2010,"1Fam"
155000,3,1,1,0,1,788,484,0,1980,2010,"TwnhsE"
206000,4,1,1,0,1,1226,484,0,1978,2010,"Twnhs"
130500,6,3,2,1,0,1479,475,0,1976,2010,"1Fam"
230000,6,3,2,0,1,1492,596,0,2002,2010,"1Fam"
218500,8,4,2,0,0,1829,535,0,1967,2010,"1Fam"
243500,9,4,2,1,1,2495,660,0,1993,2010,"1Fam"
205000,6,3,2,0,2,1610,480,0,1977,2010,"1Fam"
212500,7,3,3,0,1,1891,678,0,1978,2010,"1Fam"
196500,7,3,2,1,1,1714,496,0,1988,2010,"1Fam"
197500,5,3,1,1,1,1381,676,0,1972,2010,"1Fam"
171000,7,4,1,2,0,1645,441,0,1971,2010,"1Fam"
