LotArea,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,BsmtFinSF1,BsmtUnfSF,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,SalePrice
31770,1Fam,1Story,1960,1960,Hip,639,441,SB,1656,1,0,3,7,2,1960,2,528,210,62,0,2010,215000
11622,1Fam,1Story,1961,1961,Gable,468,270,SB,896,1,0,2,5,0,1961,1,730,140,0,0,2010,105000
14267,1Fam,1Story,1958,1958,Hip,923,406,SB,1329,1,1,3,6,0,1958,1,312,393,36,0,2010,172000
11160,1Fam,1Story,1968,1968,Hip,1065,1045,SB,2110,2,1,3,8,2,1968,2,522,0,0,0,2010,244000
13830,1Fam,2Story,1997,1998,Gable,791,137,SB,1629,2,1,3,6,1,1997,2,482,212,34,0,2010,189900
9978,1Fam,2Story,1998,1998,Gable,602,324,SB,1604,2,1,3,7,1,1998,2,470,360,36,0,2010,195500
4920,TwnhsE,1Story,2001,2001,Gable,616,722,SB,1338,2,0,2,6,0,2001,2,582,0,0,0,2010,213500
5005,TwnhsE,1Story,1992,1992,Gable,263,1017,SB,1280,2,0,2,5,0,1992,2,506,0,82,0,2010,191500
5389,TwnhsE,1Story,1995,1996,Gable,1180,415,SB,1616,2,0,2,5,1,1995,2,608,237,152,0,2010,236500
7500,1Fam,2Story,1999,1999,Gable,0,994,SB,1804,2,1,3,7,1,1999,2,442,140,60,0,2010,189000
10000,1Fam,2Story,1993,1994,Gable,0,763,SB,1655,2,1,3,7,1,1993,2,440,157,84,0,2010,175900
7980,1Fam,1Story,1992,2007,Gable,935,233,SB,1187,2,0,3,6,0,1992,2,420,483,21,0,2010,185000
8402,1Fam,2Story,1998,1998,Gable,0,789,SB,1465,2,1,3,7,1,1998,2,393,0,75,0,2010,180400
10176,1Fam,1Story,1990,1990,Gable,637,663,SB,1341,1,1,2,5,1,1990,2,506,192,0,0,2010,171500
6820,TwnhsE,1Story,1985,1985,Gable,368,0,SB,1502,1,1,1,4,0,1985,2,528,0,54,0,2010,212000
12134,1Fam,1.5Fin,1988,2005,Gable,427,132,SB,1752,2,0,4,8,0,1988,2,492,325,12,0,2010,164000
11394,1Fam,1Story,2010,2010,Hip,1445,411,SB,1856,1,1,1,8,1,2010,3,834,113,0,0,2010,394432
19138,1Fam,1Story,1951,1951,Gable,120,744,SB,864,1,0,2,4,0,1951,2,400,0,0,0,2010,141000
13175,1Fam,1Story,1978,1988,Gable,790,589,SB,2073,2,0,3,7,2,1978,2,500,349,0,0,2010,210000
11751,1Fam,1Story,1977,1977,Hip,705,1139,SB,1844,2,0,3,7,1,1977,2,546,0,122,0,2010,190000
10625,1Fam,SFoyer,1974,1974,Gable,885,0,SB,1173,2,0,3,6,2,1974,2,528,0,120,0,2010,170000
7500,1Fam,2Story,2000,2000,Gable,533,281,SB,1674,2,1,3,7,0,2000,2,663,0,96,0,2010,216000
11241,1Fam,1Story,1970,1970,Gable,578,426,SB,1004,1,0,2,5,1,1970,2,480,0,0,0,2010,149000
12537,1Fam,1Story,1971,2008,Gable,734,344,SB,1078,1,1,3,6,1,1971,2,500,0,0,0,2010,149900
