"listing_id","id","date","reviewer_id","reviewer_name","comments","review_scores_rating"
16885,220064795,"2017-12-20",102891812,"Shelley","Good stay, a few issues with the direction instructions as they were different from where the actual property was.",4
32363,547957,"2011-09-19",262278,"T. Baird","The home is in a very quiet neighborhood in Flushing. The rooms I stayed in were newly renovated. I enjoyed my stay. Access to Manhattan is via one bus and the 7 train. I recommend this host and home.",4
40248,17571944,"2014-08-14",9550882,"Stacy","Ernest welcomed us generously into his beautiful home with plenty of information about the apartment and the area. We enjoyed a wonderful stay in the comfort of all the available surroundings. We can recommend Ernest as a host and the apartment as a great Manhattan get away.",5
62219,40622663,"2015-08-01",34226723,"Michelle","I stayed in Eli's house for a month. Instantly when I met him, he was very welcoming. Booking was easy, communication was clear and instant, and description of the place was very accurate. The house is clean, which is what initially attracted me to book the place. Location is great - in the Bushwick neighborhood of Brooklyn. It's safe and easy to get to and from the Subway (L) line which is literally right around the corner of the street.  Commuting was easy, only 15 minutes away from the place I needed to get to in Manhattan (14th Union Square/New York University area). Laundry is 24 hours and right across the street, grocery store next door, and plenty of options to eat around the neighborhood. I would definitely book with Eli again if it becomes an option in the future. He is kind, easy to talk to, answers any questions or concerns I had about anything (house, neighborhood, New York City, etc...). I was fortunate to have a positive experience with Air B&B as this was my first time using this service and it was great because Eli is a great host and the house was clean.",5
74860,210835,"2011-03-28",169087,"Dawn","Allison's apartment was perfect! The location was great (close to cute shops and restaurants as well as the train). She responded quickly to any questions. I would have stayed longer if it had been available.",5
112304,58459409,"2016-01-02",34461953,"NiKki","My stay at Kelli's place was perfect! She was very welcoming and easy to talk to. The house amenities fit the description described and the location is a good short walk to the subway. Thanks Kelli !",5
118812,277899,"2011-05-23",604254,"Grace","Alliot was very welcoming and accommodating, the room was extremely cozy and the bed comfortable. The place is in a convenient location in Brooklyn, next to a sweet little park. A great way to stay in New York!",5
145994,169205502,"2017-07-11",14948852,"Maxime","The appartement was nice and well situated, very close to the subway/restaurants/etc. Good quality for the price. I did not meet Carolyn but she was helpful whenever we had questions. I would recommend this apartment for couples or singles visiting.",4
159913,207695117,"2017-10-29",95701766,"Fiona","Have just returned from a wonderful few days in New York with my daughter, staying at Kaye's lovely apartment. Kaye was extremely welcoming and encouraged us to use the shared living area, which was elegant and comfortable. She did all she could to make our stay enjoyable. The location is ideal with so many incredible areas within a walkable distance. Whilst on a main road as such, the apartment was very quiet. I would highly recommend Kaye and her apartment.",5
186178,6962114,"2013-09-01",719956,"Sylvia","Michael is a welcoming and extremely organized host! When I arrived someone was waiting for me with the key, and Michael explained stuff in the flat as well as all conveniences around to me. Yes, the laundromat on Vanderbilt really is the better one :) The location is great: Close to the 7th Ave and grand Army Plaza Subway, close to the park for all the runners and close to restaurants, cafes and all sorts of conveniences on Flatbush or Washington ave. I had some really nice weeks here and would definitely come back anytime!",5
187611,35987714,"2015-06-23",32529883,"Amy","Feliks and his girlfriend were very friendly. I was working in NYC for the weekend and the place i where i was planning on staying fell through. I looked online and found their place - they were very welcoming and made special arrangements to let me drop off my bags early before heading out to the city. 


I dare say, the things i wish were different: i wish it had been cleaner. 


and you have to be ready for the 4 story walk up. But she definitely was helpful with carrying the bags - thank you :)",3
189181,11961856,"2014-04-20",11308465,"Marcela","el apartamento es muy comfortable, lindo y bien ubicado, y David , un muy buen  host!!",4
214917,85420323,"2016-07-11",73864061,"Samina","Very nice--clean, spacious, and private. Would definitely stay here in the future.",5
214917,233255559,"2018-02-08",91972794,"Michael","The host canceled this reservation 82 days before arrival. This is an automated posting.",5
224320,208487336,"2017-11-01",101626,"Leo","In order to receive (airbnb rent), you have to give (provide heating, a clean room, a working shower, a real door, locks on toilet- and bathroom doors, and of course be ready to cancel the stay  when the wrecking crew starts with heavy noise machinery on the other side of the thin wall). I'm sure this is an exception and Oscar will be the perfect hos in the future.",1
229874,824288,"2012-01-02",1434291,"Anna","My mother and I stayed here for 8 days. We didn't actually meet Derrick but his friend was very accommodating, met us when we arrived, even carried with my bags! 


Derrick's studio was incredibly comfortable and clean. Located in a peaceful neighbourhood close to subway. His apartment is also beautiful as shown in the pictures. I was able to use everything, the kitchen, internet, TV and we had a key and came and went as we pleased.


If all my stays were this easy, I would never stay in hotels again!


I had a wonderful time there and thanks again.",5
231414,5637345,"2013-07-09",6348047,"Wladimir","The appartement was perfect, very clean (fresh towels, new soap, nespresso caps, etc.) and very well located. Felt like at home. Roberto is a great guest wich had an answer for each question. Enjoy your future stay at Turquoise: best place in NYC!",5
234730,2203689,"2012-09-04",3418121,"Crystal","I had a wonderful stay in NYC thanks to Kevin. I actually had tried booking a room on this site with no luck until Kevin saved the day & was able to accommodate my boyfriend, his parents, & I on such short notice. He was very professional, courteous, and helpful with our needs. Our room was everything we expected and will definitely be returning as a guest of Kevin's in the future. Thanks again Kevin, you're thee best!!",5
268481,7569870,"2013-09-24",4912449,"Russ","Amazing apartment in a great location. 2 min walk from the L. Super easy check in and check out. Designer furniture. Extremely fast wifi. Would love to stay here again on my next trip to New York.",5
274743,18707023,"2014-08-31",14473154,"Zachary","The stay at Catherine's was wonderful. I was provided the keys immediately on arrival by a friend of Catherine's. The apartment is spacious, clean, quiet and well located for me. I would definitely rent from Catherine again.",5
279093,92425185,"2016-08-08",5931506,"Briana","This is a terrific period apartment with lots of beautiful original features, I loved my 3 month stay here. It's a huge place, with lots of room to swing the proverbial cat. A great place to call home whilst in The Big Apple.


Erica and I never actually met face to face due to our busy work schedules, but she was always quick to respond to any query I had with efficiency and humour.


The building is full of friendly neighbours who all say hello, an asset in such a big city. There is also a concierge and a laundry room. It's is only 5 mins walk from 145th Station and it's express trains, making my work commute incredibly easy. 


I had a great stay.",5
280046,883861,"2012-01-26",1131944,"Ana & Carlos","We stayed for 34 days at the house and we had a great time. Carlos was having English classes I was exploring the city. Nichelle is an excellent host. She's very nice, friendly, helped us with directions, taxi and everything we needed. We felt like we were at home when we were there.


The neighborhood is very safe; people were friendly and treated us like we belonged to the neighborhood. It was amazing.


There are a lot of corner stores in the neighborhood and the subway station is not that far from the apartment. 


We absolutely recommend and if we come back to NY we'll be glad to stay with her again.",5
282514,223641340,"2018-01-01",59896782,"Dave","Great host and location. Very friendly and helpful. Recommended.",5
