songID,songName,year,artist,genre
1,Aunt Eggma Blowtorch,1995,Neutral Milk Hotel,Rock
2,Back Against The Wall,2008,Cage The Elephant,Rock
3,Halo,2008,The Pussycat Dolls,Pop
4,The Canals Of Our City,2005,Beirut,Rock
5,Full Circle,2008,Miley Cyrus,Pop
6,Combat Rock,2002,Sleater-kinney,Rock
7,Halo,2008,Beyonce,Pop
8,Go Places,2007,The New Pornographers,Rock
9,I'm Still Breathing,2008,Katy Perry,Pop
10,Harder Better Faster Stronger,2007,Daft Punk,Electronic
11,See You Soon,1999,Coldplay,Rock
12,Poor Jackie,2008,Man Man,Rock
13,Such Great Heights,2003,The Postal Service,Electronic
14,Loverboy,2001,Mariah Carey Featuring Cameo,Pop
15,One Man Show,2008,Jonas Brothers,Pop
16,Pogo,2007,Digitalism,Electronic
17,Rorol,2002,Octopus Project,Rock
18,Get Innocuous! (Soulwax Remix),2007,LCD Soundsystem,Rock
19,Auto-Dub,2006,Skream,Electronic
20,Lemme Get That,2007,Rihanna,RnB
21,That Was Just A Dream,2004,Cut Copy,Electronic
22,Up Up & Away,2009,Kid Cudi,Rap
23,Beautiful_ Dirty_ Rich,2009,Lady GaGa,Pop
24,Swallowed In The Sea,2005,Coldplay,Electronic
25,Seven Nation Army,2003,The White Stripes,Rock
26,Undo,2001,Bjork,Rock
27,Hilarious Movie Of The 90s,2001,Four Tet,Electronic
28,Hail To Whatever You Found In The Sunlight That Surrounds You,2002,Rilo Kiley,Rock
29,Hot N Cold (Manhattan Clique Remix Radio Edit),2008,Katy Perry,Pop
30,Losing Touch,2008,The Killers,Rock
31,The Electric Version,2003,The New Pornographers,Rock
32,Echo Sam,2007,Holy Fuck,Electronic
33,Rhineland (Heartland),2005,Beirut,Rock
34,Nah!,2002,Shania Twain,Country
35,Imma Be,2009,Black Eyed Peas,Rap
36,I Miss You,2007,Miley Cyrus,Pop
37,Australia,2007,Jonas Brothers,Pop
38,I Ran Away,2002,Coldplay,Rock
39,Olympic Airways,2008,Foals,Rock
