V1,V2,n
1,5,12
1,10,8
2,6,40
2,8,18
2,10,8
2,11,40
2,14,11
2,15,10
2,17,21
2,18,9
2,19,16
2,22,9
2,28,18
2,29,17
2,31,10
2,32,8
2,35,28
2,38,16
2,39,18
2,42,14
2,47,12
2,48,9
2,49,9
2,52,19
2,53,24
2,55,9
2,59,20
2,63,23
2,65,9
2,66,14
2,67,12
2,70,14
2,71,8
2,72,10
2,79,12
2,85,16
2,87,9
2,88,33
2,89,18
2,91,11
2,96,21
2,98,21
2,99,8
2,101,12
3,14,12
3,16,12
3,24,24
3,27,11
3,30,22
3,43,8
4,6,11
4,8,10
4,11,17
4,15,9
4,22,10
4,32,10
4,34,34
4,35,12
4,38,13
4,41,9
4,53,15
4,59,9
4,63,17
4,71,10
4,85,9
4,88,22
4,91,10
4,96,10
4,98,8
4,101,17
4,102,11
5,6,11
5,9,9
5,10,24
5,14,11
5,18,9
5,21,12
5,23,38
5,24,25
5,26,24
5,27,18
5,31,26
5,33,10
5,37,11
5,40,17
5,44,17
5,45,14
5,48,9
5,51,13
5,54,14
5,56,12
5,57,21
5,61,17
5,68,8
5,69,15
5,77,14
5,78,21
5,80,8
5,83,15
5,87,15
5,91,9
5,92,10
5,93,16
5,100,16
6,8,62
6,11,57
6,15,19
6,16,10
6,17,39
6,19,15
6,20,21
6,22,23
6,27,8
6,28,34
6,29,48
6,32,39
6,35,84
6,37,11
6,38,72
6,39,16
6,41,9
6,42,53
6,48,11
6,49,16
6,52,13
6,53,79
6,55,20
6,58,8
6,59,110
6,62,29
6,63,76
6,64,10
6,66,40
6,67,20
6,70,13
6,72,20
6,76,10
6,79,39
6,81,19
6,82,13
6,85,26
6,88,39
6,89,16
6,90,10
6,91,22
6,93,11
6,95,18
6,96,48
6,98,73
6,99,33
6,101,39
7,9,8
7,40,9
7,53,13
7,64,8
8,11,29
8,15,14
8,16,10
8,17,16
8,19,10
8,20,15
8,22,13
8,28,23
8,29,30
8,32,25
8,35,66
8,38,70
8,39,8
8,41,11
8,42,30
8,48,10
8,53,30
8,55,9
8,59,50
8,62,35
8,63,57
8,66,10
8,70,9
8,72,12
8,76,14
8,79,31
8,81,15
8,85,10
8,88,26
8,95,11
8,96,21
8,98,61
8,99,20
8,101,24
8,102,8
9,10,9
9,14,9
9,19,14
9,21,9
9,23,17
9,24,12
9,44,9
9,45,10
9,91,15
9,93,9
10,20,8
10,23,14
10,24,16
10,26,14
10,27,8
10,30,8
10,31,32
10,39,9
10,40,8
10,45,11
10,47,13
10,51,9
10,52,9
10,54,22
10,56,12
10,57,15
10,61,12
10,65,10
10,68,14
10,69,14
10,71,8
10,78,10
10,83,19
10,84,12
10,87,11
10,88,9
10,93,10
10,100,8
10,102,17
11,14,10
11,15,32
11,17,42
11,20,9
11,22,16
11,28,24
11,29,39
11,32,14
11,35,34
11,38,25
11,39,13
11,42,17
11,48,17
11,49,13
11,53,31
11,55,13
11,58,12
11,59,29
11,62,14
11,63,32
11,66,11
11,67,22
11,70,15
11,71,36
11,72,21
11,76,12
11,79,17
11,81,15
11,82,8
11,85,14
11,88,28
11,89,16
11,91,9
11,96,40
11,97,12
11,98,41
11,99,17
11,100,9
11,101,21
12,53,8
12,93,21
13,15,10
13,19,8
13,53,9
13,59,11
13,63,9
13,65,12
13,81,9
13,90,16
13,100,21
13,101,11
14,15,12
14,16,11
14,17,10
14,19,11
14,20,8
14,24,11
14,27,14
14,31,14
14,35,10
14,39,13
14,43,13
14,44,8
14,45,10
14,48,9
14,53,11
14,58,23
14,61,11
14,65,13
14,70,15
14,71,12
14,76,14
14,78,8
14,85,12
14,87,9
14,89,11
14,91,11
14,93,9
14,96,10
14,99,8
15,16,16
15,17,12
15,19,16
15,20,18
15,21,8
15,28,16
15,29,19
15,32,9
15,35,12
15,39,11
15,42,9
15,48,9
15,49,22
15,53,11
15,55,8
15,59,20
15,62,12
15,63,19
15,66,8
15,71,18
15,78,15
15,85,18
15,88,12
15,96,57
15,97,17
