"id","name","state","party","x","y"
1,"Lamar Alexander","TN","R",-85.3316516663627,35.566029652008
2,"Tammy Baldwin","WI","D",-90.9272039747706,45.6529222408346
3,"John Barrasso","WY","R",-106.674672749773,43.250321598658
4,"Michael Bennet","CO","D",-107.214911948241,38.1301868968438
5,"Marsha Blackburn","TN","R",-87.60522554489,35.566029652008
6,"Richard Blumenthal","CT","D",-72.3462375873069,41.5577283100792
7,"Roy Blunt","MO","R",-93.0152585418382,39.3387813576233
8,"Cory Booker","NJ","D",-74.5306142349331,40.4956650028279
9,"John Boozman","AR","R",-92.4771695703056,33.9635710697719
10,"Mike Braun","IN","R",-86.3060404714458,40.5276295468096
11,"Sherrod Brown","OH","D",-83.0580777878355,39.7006962310093
12,"Richard Burr","NC","R",-80.4179054707349,35.566029652008
13,"Maria Cantwell","WA","D",-121.004331179081,46.5760297895569
14,"Shelley Capito","WV","R",-80.345218078333,38.9760204590624
15,"Benjamin Cardin","MD","D",-76.8767965601613,39.0795805931596
16,"Thomas Carper","DE","D",-75.5823511393457,39.0795805931596
17,"Bob Casey","PA","D",-76.4991788885556,41.004905366046
18,"Bill Cassidy","LA","R",-92.0453916744866,30.6941287761223
19,"Susan Collins","ME","R",-69.5716720891012,44.5110031449347
20,"Christopher Coons","DE","D",-75.6036952947236,38.3938339841638
21,"John Cornyn","TX","R",-100.46282188879,31.5531429041053
22,"Catherine Cortez masto","NV","D",-116.386390529197,38.0765208029779
23,"Tom Cotton","AR","R",-92.1411347859453,35.423588269005
24,"Kevin Cramer","ND","R",-99.5148643223564,47.6350905682391
25,"Michael Crapo","ID","R",-115.53929298645,45.5256183016716
26,"Ted Cruz","TX","R",-98.4307406958144,29.3699436232355
27,"Steve Daines","MT","R",-110.844053417771,47.281069465822
28,"Tammy Duckworth","IL","D",-88.9044106183342,41.28330157679
29,"Richard Durbin","IL","D",-88.9044106183342,38.9184655668303
30,"Michael Enzi","WY","R",-108.072884862058,42.5017845831914
31,"Joni Ernst","IA","R",-92.9220742864381,42.4600851097137
32,"Dianne Feinstein","CA","D",-121.815473486777,39.1436880439693
